location,date,total_cases,total_deaths,people_vaccinated,total_cases_change_percentage,total_deaths_change_percentage,people_vaccinated_percentage,attention_score
87,Estonia,2021-03-31,106424.0,902.0,202952.0,0.616402315267233,0.6529933481152993,0.38726398360203396,0.5522198823281887
88,Estonia,2021-04-30,122019.0,1161.0,336640.0,0.8721920356665765,0.7769164513350559,0.602875475285171,0.7506613207622678
89,Estonia,2021-05-31,129544.0,1252.0,472337.0,0.9419116284814426,0.9273162939297125,0.7127114750697066,0.8606464658269539
90,Estonia,2021-06-30,131064.0,1269.0,559171.0,0.9884026124641396,0.9866036249014972,0.8447094001656023,0.9399052125104131
91,Estonia,2021-07-31,133557.0,1272.0,638312.0,0.9813338125294818,0.9976415094339622,0.8760151775307373,0.9516634998313939
92,Estonia,2021-08-31,141956.0,1292.0,726923.0,0.9408337794809659,0.9845201238390093,0.878101256941932,0.9344850534206358
93,Estonia,2021-09-30,156257.0,1357.0,758246.0,0.9084777001990311,0.9521002210759028,0.9586901876172113,0.9397560362973817
94,Estonia,2021-10-31,193969.0,1531.0,795609.0,0.8055771798586372,0.8863487916394513,0.9530384900120537,0.8816548205033806
95,Estonia,2021-11-30,222584.0,1800.0,827839.0,0.8714417927613844,0.8505555555555555,0.9610673089815773,0.8943548857661724
96,Estonia,2021-12-31,241408.0,1932.0,842302.0,0.9220241251325557,0.9316770186335404,0.982829199028377,0.9455101142648243
97,Estonia,2022-01-27,313685.0,2023.0,853687.0,0.7695873248641153,0.9550173010380623,0.9866637303836183,0.903756118761932
99,France,2021-01-31,3237858.0,76069.0,1674912.0,0.8217395574481648,0.8498074116920165,0.0013343984639192985,0.5576271225347001
100,France,2021-02-28,3797210.0,86440.0,3145599.0,0.8526939516118414,0.8800208236927348,0.5324620207470818,0.7550589320172193
101,France,2021-03-31,4686013.0,95653.0,8858541.0,0.8103285244833934,0.9036831045550061,0.3550922211682488,0.6897012834022161
102,France,2021-04-30,5658469.0,104528.0,16047401.0,0.8281414990521287,0.915094520128578,0.5520234086504101,0.7650864759437056
103,France,2021-05-31,5709432.0,109544.0,26388251.0,0.9910738931648543,0.9542101803841379,0.6081267379183258,0.8511369371557728
104,France,2021-06-30,5817787.0,111110.0,34560700.0,0.9813752205091042,0.9859058590585906,0.7635334643106187,0.9102715146261046
105,France,2021-07-31,6169957.0,111905.0,43030726.0,0.9429218064242587,0.9928957597962558,0.8031633024272005,0.9129936228825718
106,France,2021-08-31,6794224.0,114483.0,49036086.0,0.9081179837461938,0.9774813727802382,0.8775318242161497,0.9210437269141939
107,France,2021-09-30,7057937.0,116727.0,50835526.0,0.962635965721995,0.9807756560178879,0.9646027071697851,0.969338109636556
108,France,2021-10-31,7211532.0,117717.0,51744939.0,0.9787014742498542,0.9915899997451515,0.9824250831564416,0.9842388523838158
109,France,2021-11-30,7720283.0,119193.0,52384136.0,0.9341020270889033,0.9876167224585336,0.9877978898038903,0.9698388797837757
110,France,2021-12-31,10018021.0,123805.0,53068046.0,0.7706395305020822,0.9627478696336982,0.9871125837194006,0.906833327951727
111,France,2022-01-27,18174674.0,130082.0,53709809.0,0.5512077410576938,0.9517458218662075,0.988051288732008,0.8303349505519697
113,Hungary,2021-01-31,367586.0,12524.0,237872.0,0.8614827550559597,0.7314755669115298,0.0,0.5309861073224965
114,Hungary,2021-02-28,428599.0,14974.0,685247.0,0.8576454914733819,0.8363830639775611,0.3471332234945939,0.6803872596485122
115,Hungary,2021-03-31,652433.0,20737.0,2065948.0,0.6569241592623304,0.722090948546077,0.33168647032742354,0.5702338593786104
116,Hungary,2021-04-30,779348.0,27540.0,4023137.0,0.8371523375950153,0.7529774872912128,0.5135166910796227,0.7012155053219503
117,Hungary,2021-05-31,804538.0,29733.0,5176630.0,0.9686901053772475,0.9262435677530018,0.7771729870591485,0.8907022200631326
118,Hungary,2021-06-05,805871.0,29842.0,5260418.0,0.9983458891063209,0.9963474297969305,0.9840719881956149,0.9929217690329555
119,Hungary,2021-09-28,821526.0,30179.0,5884183.0,0.9809439993378176,0.9888332946751052,0.8939929298595913,0.9545900746241713
120,Hungary,2021-10-31,863419.0,30729.0,5955207.0,0.9514801040977787,0.9821015978391747,0.988073630354075,0.9738851107636761
121,Hungary,2021-11-29,1096718.0,34326.0,6126420.0,0.7872753068701344,0.8952106275126727,0.9720533362061367,0.8848464235296478
122,Hungary,2021-12-20,1228400.0,37896.0,6232575.0,0.8928020188863562,0.905794806839772,0.9829677139865947,0.927188179904241
123,Hungary,2022-01-24,1441385.0,40944.0,6344089.0,0.8522358703607988,0.9255568581477139,0.9824223777440702,0.9200717020841944
125,Ireland,2021-01-31,196547.0,3307.0,156071.0,0.46695701282644864,0.6764439068642274,0.014756104593422225,0.38605234142803274
126,Ireland,2021-02-28,219592.0,4319.0,315295.0,0.8950553754235127,0.765686501504978,0.49499992070917714,0.7185805992125559
127,Ireland,2021-03-31,235854.0,4687.0,665832.0,0.9310505651801538,0.9214849583955622,0.4735353662785808,0.7753569632847657
128,Ireland,2021-04-30,248870.0,4903.0,1193702.0,0.9476996022019528,0.9559453395880073,0.5577874544903166,0.8204774654267589
129,Ireland,2021-05-31,262043.0,4941.0,2100212.0,0.9497296245272723,0.9923092491398502,0.5683721452881899,0.8368036729851042
130,Ireland,2021-06-30,271908.0,4998.0,2656083.0,0.9637193462494668,0.9885954381752701,0.7907177599495196,0.9143441814580854
131,Ireland,2021-07-31,300976.0,5035.0,3371322.0,0.9034208707671043,0.9926514399205562,0.7878461327633492,0.8946394811503365
132,Ireland,2021-08-31,352447.0,5092.0,3720169.0,0.8539610210896957,0.9888059701492538,0.9062281847948306,0.9163317253445934
133,Ireland,2021-09-30,389932.0,5249.0,3795066.0,0.9038678538822154,0.9700895408649266,0.9802646383488456,0.9514073443653291
134,Ireland,2021-10-30,443631.0,5436.0,3835062.0,0.8789557086858222,0.9655997056659308,0.9895709639114049,0.944708792754386
135,Ireland,2021-11-30,570115.0,5652.0,3876651.0,0.7781430062355841,0.9617834394904459,0.9892719256904994,0.9097327904721765
136,Ireland,2021-12-31,788559.0,5912.0,3902701.0,0.7229833151355828,0.956021650879567,0.9933251355919913,0.8907767005357137
137,Ireland,2022-01-27,1164536.0,6136.0,4013850.0,0.6771443733813296,0.9634941329856584,0.9723086313639024,0.8709823792436301
139,Italy,2021-01-31,2553032.0,88516.0,1397625.0,0.8253582407114365,0.8378033349902843,0.029170914944995976,0.5641108302155722
140,Italy,2021-02-28,2925265.0,97699.0,2996251.0,0.872752383117427,0.9060072262766251,0.4664579169101654,0.7484058421014058
141,Italy,2021-03-31,3584899.0,109346.0,7241776.0,0.8159964897197941,0.8934849011395022,0.4137453298748815,0.707742240244726
142,Italy,2021-04-30,4022653.0,120807.0,14319106.0,0.8911777873955322,0.9051296696383487,0.5057421880947037,0.7673498817095282
143,Italy,2021-05-31,4217821.0,126128.0,23811457.0,0.9537277660668861,0.9578126982113409,0.6013536256937154,0.8376313633239808
144,Italy,2021-06-30,4259909.0,127566.0,34436416.0,0.9901199767412872,0.9887274038536914,0.6914615330468769,0.8901029712139518
